time_ns,step_index,done,mem_init,accepted,x_hex,y_hex,err_hex,h_hex
5210,0,0,1,0,3dcccccd,415ceef8,41125f96,3dcccccd
10350,1,0,1,0,3d4ccccd,3e954440,3e2df25a,3d4ccccd
15490,2,0,1,1,3ccccccd,3ea07374,bb92da77,3ccccccd
20630,3,0,1,1,3d4ccccd,3e085c06,ba5e3483,3ccccccd
25770,4,0,1,1,3dcccccd,3df5f03a,3c7a3bc2,3d4ccccd
30910,5,0,1,1,3e19999a,3e1e9176,3b97f29a,3d4ccccd
36050,6,0,1,1,3e4ccccd,3e4e0001,3b078906,3d4ccccd
41190,7,0,1,1,3e800000,3e80251a,3abdbdb2,3d4ccccd
46330,8,0,1,1,3eb33333,3eb52fc8,3ba6bfbd,3dcccccd
51470,9,0,1,1,3ee66666,3f00d11b,3d1b98aa,3dcccccd
56610,10,0,1,0,3f0ccccd,3fa3bb62,3efa5ab0,3dcccccd
61750,11,0,1,1,3f000000,3f0349f9,3c276d93,3d4ccccd
66890,12,0,1,1,3f0ccccd,3f0d982b,3b5fe3f8,3d4ccccd
72030,13,0,1,1,3f19999a,3f19cab9,3ae86c92,3d4ccccd
77170,14,0,1,1,3f266667,3f267243,3ab46620,3d4ccccd
82310,15,0,1,1,3f400001,3f40a28c,3b882487,3dcccccd
87450,16,0,1,1,3f59999b,3f624dc0,3cce4cc0,3dcccccd
92590,17,0,1,0,3f733335,3fb541ae,3ea07c28,3dcccccd
97730,18,0,1,1,3f666668,3f688096,3be4d075,3d4ccccd
102870,19,0,1,1,3f733335,3f73b533,3b2cab73,3d4ccccd
108010,20,0,1,1,3f800001,3f800fb4,3acfadcd,3d4ccccd
113150,21,0,1,1,3f866667,3f866a32,3aae6b86,3d4ccccd
118290,22,0,1,1,3f933334,3f936734,3b693b0a,3dcccccd
123430,23,0,1,1,3fa00001,3fa2c8d7,3c8b6041,3dcccccd
128570,24,0,1,0,3facccce,3fd2f89c,3e4e4b43,3dcccccd
133710,25,0,1,1,3fa66667,3fa71294,3ba128c3,3d4ccccd
138850,26,0,1,1,3faccccd,3facf663,3b0bfb20,3d4ccccd
143990,27,0,1,1,3fb33333,3fb33d3e,3abfe45c,3d4ccccd
149130,28,0,1,1,3fc00000,3fc089ad,3badc6b7,3dcccccd
154270,29,0,1,1,3fcccccd,3fd42c1a,3d27a26b,3dcccccd
159410,30,0,1,0,3fd9999a,401f54ab,3f077db3,3dcccccd
164550,31,0,1,1,3fd33333,3fd4fb0d,3c3398e8,3d4ccccd
169690,32,0,1,1,3fd99999,3fda07b3,3b6ba6eb,3d4ccccd
174830,33,0,1,1,3fdfffff,3fe01a97,3aee1a5b,3d4ccccd
179970,34,0,1,1,3fe66665,3fe66cd2,3ab5c7a7,3d4ccccd
185110,35,0,1,1,3ff33332,3ff38b47,3b8caf4b,3dcccccd
190250,36,0,1,1,3fffffff,40025bba,3cdddff0,3dcccccd
195390,37,0,1,0,40066666,4026ba7b,3eadd450,3dcccccd
200530,38,0,1,1,40033333,4003c506,3bf49018,3d4ccccd
205670,39,0,1,1,40066666,4006899e,3b3440f4,3d4ccccd
210810,40,0,1,1,40099999,4009a21a,3ad35410,3d4ccccd
215950,41,0,1,1,400ccccc,400cced9,3aaf479f,3d4ccccd
221090,42,0,1,1,40133332,40134f4c,3b6ed812,3dcccccd
226230,43,0,1,1,40199998,401b1acd,3c94fb28,3dcccccd
231370,44,0,1,0,401ffffe,4034a089,3e5ebfeb,3dcccccd
236510,45,0,1,1,401ccccb,401d29d4,3baadb06,3d4ccccd
241650,46,0,1,1,401ffffe,40201676,3b10a70a,3d4ccccd
246790,47,0,1,1,40233331,4023389e,3ac22154,3d4ccccd
251930,48,0,1,1,40299997,4029e3f5,3bb52850,3dcccccd
257070,49,0,1,1,402ffffd,4033fb74,3d3447a7,3dcccccd
262210,50,0,1,0,40366663,406cfd8a,3f125335,3dcccccd
267350,51,0,1,1,40333330,4034296b,3c406037,3d4ccccd
272490,52,0,1,1,40366663,4036a1dc,3b77fc18,3d4ccccd
277630,53,0,1,1,40399996,4039a7f2,3af40aa7,3d4ccccd
282770,54,0,1,1,403cccc9,403cd040,3ab72fee,3d4ccccd
287910,55,0,1,1,4043332f,404362b8,3b91584f,3dcccccd
